timestep,raw_value,voltage_V,tds_ppm
988,93,0.454,197.4
989,94,0.459,199.6
990,94,0.459,199.6
991,94,0.459,199.6
992,93,0.454,197.4
993,94,0.459,199.6
994,94,0.459,199.6
995,94,0.459,199.6
996,94,0.459,199.6
997,93,0.454,197.4
998,94,0.459,199.6
999,94,0.459,199.6
1000,94,0.459,199.6
1001,94,0.459,199.6
1002,94,0.459,199.6
1003,94,0.459,199.6
1004,94,0.459,199.6
1005,94,0.459,199.6
1006,93,0.454,197.4
1007,93,0.454,197.4
1008,94,0.459,199.6
1009,93,0.454,197.4
1010,93,0.454,197.4
1011,93,0.454,197.4
1012,93,0.454,197.4
1013,94,0.459,199.6
1014,94,0.459,199.6
1015,93,0.454,197.4
1016,94,0.459,199.6
1017,93,0.454,197.4
1018,93,0.454,197.4
1019,94,0.459,199.6
1020,94,0.459,199.6
1021,94,0.459,199.6
1022,94,0.459,199.6
1023,94,0.459,199.6
1024,93,0.454,197.4
1025,93,0.454,197.4
1026,93,0.454,197.4
1027,93,0.454,197.4
1028,94,0.459,199.6
1029,94,0.459,199.6
1030,94,0.459,199.6
1031,93,0.454,197.4
1032,93,0.454,197.4
1033,93,0.454,197.4
1034,94,0.459,199.6
1035,94,0.459,199.6
1036,94,0.459,199.6
1037,94,0.459,199.6
1038,94,0.459,199.6
1039,93,0.454,197.4
1040,94,0.459,199.6
1041,94,0.459,199.6
1042,93,0.454,197.4
1043,94,0.459,199.6
1044,93,0.454,197.4
1045,93,0.454,197.4
1046,94,0.459,199.6
1047,94,0.459,199.6
1048,93,0.454,197.4
1049,94,0.459,199.6
1050,94,0.459,199.6
1051,94,0.459,199.6
1052,94,0.459,199.6
1053,94,0.459,199.6
1054,93,0.454,197.4
1055,94,0.459,199.6
1056,94,0.459,199.6
1057,93,0.454,197.4
1058,94,0.459,199.6
1059,93,0.454,197.4
1060,94,0.459,199.6
1061,93,0.454,197.4
1062,94,0.459,199.6
1063,94,0.459,199.6
1064,93,0.454,197.4
1065,94,0.459,199.6
1066,94,0.459,199.6
1067,94,0.459,199.6
1068,94,0.459,199.6
1069,93,0.454,197.4
1070,93,0.454,197.4
1071,94,0.459,199.6
1072,93,0.454,197.4
1073,94,0.459,199.6
1074,94,0.459,199.6
1075,93,0.454,197.4
1076,94,0.459,199.6
1077,94,0.459,199.6
1078,94,0.459,199.6
1079,94,0.459,199.6
1080,94,0.459,199.6
1081,94,0.459,199.6
1082,94,0.459,199.6
1083,93,0.454,197.4
1084,93,0.454,197.4
1085,94,0.459,199.6
1086,93,0.454,197.4
1087,93,0.454,197.4
1088,93,0.454,197.4
1089,94,0.459,199.6
1090,93,0.454,197.4
1091,93,0.454,197.4
1092,94,0.459,199.6
1093,94,0.459,199.6
1094,93,0.454,197.4
1095,93,0.454,197.4
1096,94,0.459,199.6
1097,94,0.459,199.6
1098,93,0.454,197.4
1099,94,0.459,199.6
1100,94,0.459,199.6
1101,93,0.454,197.4
1102,94,0.459,199.6
1103,94,0.459,199.6
1104,94,0.459,199.6
1105,94,0.459,199.6
1106,94,0.459,199.6
1107,93,0.454,197.4
1108,94,0.459,199.6
1109,94,0.459,199.6
1110,93,0.454,197.4
1111,93,0.454,197.4
1112,93,0.454,197.4
1113,94,0.459,199.6
1114,94,0.459,199.6
1115,93,0.454,197.4
1116,93,0.454,197.4
